"month1","tradevolume.HG","tradevolume.HY"
2010-01-01,236046653009,126596156609
2010-02-01,217458748210,103290311389
2010-03-01,289243554530,148891807652
2010-04-01,241798671774,120463315593
2010-05-01,206830154854,119018211642
2010-06-01,226239762819,94818725893
2010-07-01,218345400655,94401737797
2010-08-01,244096187012,93213934782
2010-09-01,259399643387,110750850115
2010-10-01,251038867412,115273188021
2010-11-01,215540320442,104446132341
2010-12-01,199953613588,78994711767
2011-01-01,290680460805,118994656933
2011-02-01,268757709666,100321182284
2011-03-01,306955645408,103360620354
2011-04-01,226344995579,80075470783
2011-05-01,247251852398.54,86976971459
2011-06-01,268509543735,98786829796
2011-07-01,224752295055.3,73818483078
2011-08-01,267004410528,99789770851
2011-09-01,227545446033,87124962698
2011-10-01,240227604621,102583558175
2011-11-01,203195316418.42,69518006061
2011-12-01,182165818492,75108762839
2012-01-01,279554342495.59,101892465373.39
2012-02-01,289724062144.01,105303105721.79
2012-03-01,294038780829.89,100380432186.02
2012-04-01,230439526305.4,79525447871.69
2012-05-01,261439469800.2,100419531727.96
2012-06-01,239695327136.04,79293203292.87
2012-07-01,212946996389.01,74474390612.69
2012-08-01,231156626490.13,79276904755.53
2012-09-01,250402221793.61,86672846319.3
2012-10-01,260645029463.48,87146732423.82
2012-11-01,236529741844.22,81165409636.17
2012-12-01,188681997878.854,65655651785.22
2013-01-01,308873281396.66,106274976194.24
2013-02-01,259143034084.32,85524998972.59
2013-03-01,258903798172.21,91144315346.87
2013-04-01,274019772546.24,98641647358.1
2013-05-01,301358432666.35,98645957967.16
2013-06-01,259420063963.3,97131758818.07
2013-07-01,252752214233.52,77800171073.73
2013-08-01,205687619463.24,60197459329.31
2013-09-01,303618399714.29,84654090297.91
2013-10-01,297089467087.27,98518100270.86
2013-11-01,253873471759.63,78185032722.84
2013-12-01,220423048748.82,67752017688.32
2014-01-01,306478053863.83,95100555552.74
2014-02-01,273041884037.68,85253862375.23
2014-03-01,312048255670.02,94558521823.87
2014-04-01,290638614225.05,98160962509.87
2014-05-01,285720082546.03,100804090355.07
2014-06-01,279820368107.01,93520280199.99
2014-07-01,302086691500.53,156237236788.01
2014-08-01,252728939866.82,120080186286.9
2014-09-01,337910374457.32,170230677151.54
2014-10-01,375983439064.09,194347506441.89
2014-11-01,286894504076.92,131745626894.61
2014-12-01,287534334238.06,146721316042.01
2015-01-01,344708154549.62,163432535592.98
2015-02-01,370330240448.9,171973753504.75
2015-03-01,386518760759.4,193047832764.17
2015-04-01,341600220591.14,176527303381.27
2015-05-01,349041556800.55,159837224472.09
2015-06-01,355155598874.36,158482498500.01
2015-07-01,338352601153.2,165072344308
2015-08-01,301580404952.47,149968465137.48
2015-09-01,345411465102.78,163380051245.73
2015-10-01,398298328250.42,197975281377.63
2015-11-01,304424299009.75,148165955303.89
2015-12-01,269396545311.58,142766371011.44
2016-01-01,361118264202.62,165451889290.66
2016-02-01,378833387571.94,189889026756.29
2016-03-01,460778947014.84,223428946052.32
2016-04-01,228573012511.26,102251335429.45
