"datez","tradevolume.HG","tradevolume.HY"
2010-01-04,9286241365,5714530249
2010-01-05,14003492086,9105806800
2010-01-06,15430421485,9075135700
2010-01-07,14515202593,8029509600
2010-01-08,10531051100,6653436505
2010-01-11,11341835890,6527658080
2010-01-12,13618972367,7836289700
2010-01-13,14260127138,6832542213
2010-01-14,11814611473,6467368550
2010-01-15,9078253218,4691656000
2010-01-19,10922005348,5009439625
2010-01-20,12613346499,6227069000
2010-01-21,13645163097,6450106500
2010-01-22,12191141174,5831305728
2010-01-25,10581754519,5366380000
2010-01-26,14975522394,7267376808
2010-01-27,12749815214,6785321141
2010-01-28,12175623454,6798412510
2010-01-29,12312072595,5926811900
2010-02-01,9700296724,4895486495
2010-02-02,12885794892,6258798000
2010-02-03,14125102590,6239337272
2010-02-04,12292091804,5214879689
2010-02-05,11301758118,4552508160
2010-02-08,10221638615,5318444000
2010-02-09,13523773872,6946571780
2010-02-10,9572411738,5290901200
2010-02-11,14107660656,6887516906
2010-02-12,8122617957,4385363000
2010-02-16,8773536866,4478142868
2010-02-17,13385962270,6740839800
2010-02-18,12289359282,6287070800
2010-02-19,9706034671,4700205710
2010-02-22,11519799278,5222164600
2010-02-23,12378534042,5712919350
2010-02-24,13424686470,5207361159
2010-02-25,11355454540,5166142000
2010-02-26,8772233825,3785658600
2010-03-01,10922038586,5493671840
2010-03-02,16436300146,8056048900
2010-03-03,14353323775,6476701300
2010-03-04,13515726792,7079621371
2010-03-05,11523682760,6844013486
2010-03-08,12409245495,6240196000
2010-03-09,14524068105,7031642780
2010-03-10,14488641600,8424487580
2010-03-11,12961339480,7886845118
2010-03-12,11607503973,7042216835
2010-03-15,10326323523,6409408473
2010-03-16,12816892586,7094777478
2010-03-17,13141981042,8181349720
2010-03-18,13183202412,6623061511
2010-03-19,10836799459,4268116000
2010-03-22,9432057259,4530322368
2010-03-23,13859529915,6173464964
2010-03-24,14755783111,5928121203
2010-03-25,14496537353,7070459900
2010-03-26,10117402178,5094099525
2010-03-29,8532732394,4900856000
2010-03-30,11368772864,6020942700
2010-03-31,13633669722,6021382600
2010-04-01,8690280180,4382816040
2010-04-05,8526944870,3744890000
2010-04-06,11215314168,5873103000
2010-04-07,12701970313,6629033648
2010-04-08,11049434690,5848541260
2010-04-09,7950404566,5099653000
2010-04-12,9686936115,5237538045
2010-04-13,13849335812,6438343370
2010-04-14,14484718109,7381335900
2010-04-15,14080412588,6990510300
2010-04-16,10867836583,4836114712
2010-04-19,10417346635,4952099650
2010-04-20,13508026154,5991412880
2010-04-21,13331761903,6269812398
2010-04-22,13966521987,5735273400
2010-04-23,9894539417,4831136600
2010-04-26,10215901632,6093590819
2010-04-27,11592329576,6655464000
2010-04-28,13098153175,6526725571
2010-04-29,12451676870,6261248000
2010-04-30,10218826431,4684673000
2010-05-03,8174469339,4086836777
2010-05-04,10992400260,5596604940
2010-05-05,11533035743,7469834400
2010-05-06,10690514662,7028658268
2010-05-07,10120517688,7440648000
2010-05-10,10545706999,6598469468
2010-05-11,11441351453,6653014075
2010-05-12,13315123925,6453461468
2010-05-13,13302052782,5786203600
2010-05-14,8338758905,3864881000
2010-05-17,7274843230,4484293000
2010-05-18,11133724609,5970245860
2010-05-19,11542553386,5714612500
2010-05-20,10145848495,7941010800
2010-05-21,9097263738,5665297010
2010-05-24,8342963595,5009314900
2010-05-25,10265330981,6724270415
2010-05-26,12286438999,7297507000
2010-05-27,13724993635,7040250161
2010-05-28,4562262430,2192798000
2010-06-01,7263099276,3351435715
2010-06-02,11275821906,4914712275
2010-06-03,12569758808,4977395275
2010-06-04,8170701875,3445371800
2010-06-07,7626621047,3614194400
2010-06-08,11096476236,4858212245
2010-06-09,12330111834,4716934960
2010-06-10,12816358856,4608079000
2010-06-11,7881343632,3032553429
2010-06-14,9600510125,3944093000
2010-06-15,13343677007,5568558000
2010-06-16,11167832127,4818904584
2010-06-17,13975928341,5101391200
2010-06-18,7307648199,3091845386
2010-06-21,9261463388,5350372130
2010-06-22,13616405548,4734453004
2010-06-23,10921833662,4886464600
2010-06-24,9498987835,4456552400
2010-06-25,6753740624,3420914000
2010-06-28,8539072810,3627838300
2010-06-29,10660563165,4358560330
2010-06-30,10561806518,3939889860
2010-07-01,10705583720,3572193400
2010-07-02,3598178753,1779316000
2010-07-06,8185449647,3637125300
2010-07-07,11077249269,5367640000
2010-07-08,11336235001,4369053250
2010-07-09,7555843889,3350646600
2010-07-12,8516145645,3882788750
2010-07-13,12509125433,6642479700
2010-07-14,11586438828,5368050038
2010-07-15,11716072996,4953025011
2010-07-16,7424357072,3085049000
2010-07-19,8146563242,3514907100
2010-07-20,10503369543,5095394000
2010-07-21,14305506809,5046954900
2010-07-22,13742339235,5277597000
2010-07-23,7256529544,3952731600
2010-07-26,10424481373,5255365000
2010-07-27,15619489468,6635864005
2010-07-28,12191878689,5435992358
2010-07-29,12813265644,4987008785
2010-07-30,9131296855,3192556000
2010-08-02,12271749427,4561458300
2010-08-03,14288482400,5444953779
2010-08-04,14479726931,5777548625
2010-08-05,14246348931,5151699349
2010-08-06,8654913406,2774042804
2010-08-09,8987552709,4929008000
2010-08-10,14373398650,4957424840
2010-08-11,12941251715,5589578400
2010-08-12,11945466329,5373945000
2010-08-13,9451400983,3783501000
2010-08-16,9054963036,4112112500
2010-08-17,13282616883,5652296185
2010-08-18,12883485769,4937503450
2010-08-19,13381932964,4072755700
2010-08-20,6905873969,2449877360
2010-08-23,8148165666,3372617950
2010-08-24,10419502555,4434025080
2010-08-25,10958588229,4135236917
2010-08-26,10720740904,3471152466
2010-08-27,7381083506,2229296702
2010-08-30,6911879169,2544075675
2010-08-31,12407062881,3459824700
2010-09-01,11713240167,4219394110
2010-09-02,10465407193,3042867100
2010-09-03,5523558017,1360832630
2010-09-07,9952705338,3804591636
2010-09-08,14497464636,5895051400
2010-09-09,14140277872,4610545410
2010-09-10,11182701095,3831910500
2010-09-13,13453962437,4964754000
2010-09-14,14279857568,5734012650
2010-09-15,12847417953,7007180520
2010-09-16,13531638040,6392284736
2010-09-17,10661309386,4843200793
2010-09-20,10601970274,5432353000
2010-09-21,16374802177,6892440086
2010-09-22,13367110087,6648751550
2010-09-23,13524504936,5743947134
2010-09-24,10518352623,5619517250
2010-09-27,11713780401,4934765050
2010-09-28,13548806396,5991478800
2010-09-29,13257817002,7171981200
2010-09-30,14242959789,6608990560
2010-10-01,9727821426,5719717911
2010-10-04,10778895145,4452231297
2010-10-05,14604976669,7192988164
2010-10-06,15113094938,6483322000
2010-10-07,13854202138,6438056544
2010-10-08,8311197021,3789070200
2010-10-12,11840329958,5636680901
2010-10-13,14014625799,8436630600
2010-10-14,14434065098,6839135948
2010-10-15,10671745203,5174073800
2010-10-18,10984877942,4712768000
2010-10-19,14865912870,5657355093
2010-10-20,14711844164,5679048000
2010-10-21,13333872615,6176881891
2010-10-22,10639277321,4436218751
2010-10-25,10873952808,5306220200
2010-10-26,14783413642,6337843020
2010-10-27,13423536977,6145096971
2010-10-28,12512331017,6233471400
2010-10-29,11558894661,4426377330
2010-11-01,10218729491,4965695783
2010-11-02,12301406378,6340144255
2010-11-03,13262037827,6952551150
2010-11-04,17195817666,7149994393
2010-11-05,12375157863,5080144045
2010-11-08,10513426315,4649740320
2010-11-09,15625607325,6223205500
2010-11-10,14117829472,5784472014
2010-11-11,124714713,62898328
2010-11-12,7679026481,4080238134
2010-11-15,10579386948,5726576025
2010-11-16,12501050297,6242903002
2010-11-17,12336965565,6570748006
2010-11-18,11758055547,7571318254
2010-11-19,8970481554,4632172011
2010-11-22,8369724615,4084859843
2010-11-23,10441855302,5144618548
2010-11-24,4987783403,2389698887
2010-11-26,973787326,237328304
2010-11-29,9046351757,4297671405
2010-11-30,12161124597,6259154134
2010-12-01,15060129319,6727529978
2010-12-02,12912669576,5597982004
2010-12-03,9491250443,4456676070
2010-12-06,10646354075,4451670521
2010-12-07,15051961385,6307211406
2010-12-08,14484162876,5164036597
2010-12-09,12928551048,5071772004
2010-12-10,10424537404,4008118850
2010-12-13,11301038083,4606358766
2010-12-14,13335957254,5694351599
2010-12-15,13430248744,4822701159
2010-12-16,13117632839,5150536203
2010-12-17,8221467085,3171855601
2010-12-20,7711497238,3142823344
2010-12-21,9405734204,3494076254
2010-12-22,6572477376,2318330272
2010-12-23,2112644042,813344032
2010-12-27,1758243217,400465321
2010-12-28,3761852872,1084132382
2010-12-29,3929185834,1191605521
2010-12-30,2924190837,968662050
2010-12-31,1371827837,350471833
2011-01-03,10696413850,6042847078
2011-01-04,16969976494,7909753415
2011-01-05,18431832127,8053371508
2011-01-06,16214248284,7664351724
2011-01-07,11626161781,5401765888
2011-01-10,10459968234,4460355146
2011-01-11,15442221041,5814717365
2011-01-12,17471552223,5586306016
2011-01-13,13370341206,6426461634
2011-01-14,13714005247,4537387955
2011-01-18,13772622552,4897547407
2011-01-19,15143786476,5966073931
2011-01-20,18287985073,5835006653
2011-01-21,14708686947,5604247798
2011-01-24,14683206667,5422976840
2011-01-25,16415769984,6605742868
2011-01-26,16628908672,6525587839
