"datez","tradevolume.HG_B","tradevolume.HG_D","tradevolume.HG_S","tradevolume.HY_B","tradevolume.HY_D","tradevolume.HY_S"
2010-01-04,2813999430,3084815608,3387426327,2112232099,1350982000,2251316150
2010-01-05,5089169704,4656572504,4257749878,2837011600,2731212600,3537582600
2010-01-06,5182170332,4885780385,5362470768,3138743550,2543218600,3393173550
2010-01-07,4670261437,4935464301,4909476855,2964971300,2037032300,3027506000
2010-01-08,3582503170,3307561560,3640986370,2328830355,1915708100,2408898050
2010-01-11,4095756429,3544834880,3701244581,2463740000,1813730000,2250188080
2010-01-12,5244924425,3958076076,4415971866,2973706500,2137480950,2725102250
2010-01-13,5200253256,3994764814,5065109068,2613419429,1809741229,2409381555
2010-01-14,4268191270,3309619340,4236800863,2410578000,1932091000,2124699550
2010-01-15,3155532317,2167128358,3755592543,1882201000,985421000,1824034000
2010-01-19,3564940372,3106317909,4250747067,1675329000,1357204425,1976906200
2010-01-20,4151097402,3755472641,4706776456,1947181750,1890262000,2389625250
2010-01-21,4913547846,4196355324,4535259927,2344035000,1921598000,2184473500
2010-01-22,4306318803,3587814522,4297007849,2118817064,1547168864,2165319800
2010-01-25,3673131064,2912382318,3996241137,2105104000,1419300000,1841976000
2010-01-26,5216238191,4138183409,5621100794,2447361800,2099009408,2721005600
2010-01-27,4487504777,3638356931,4623953506,2484763640,1949794280,2350763221
2010-01-28,4067095778,3607273545,4501254131,2366780170,2209332340,2222300000
2010-01-29,4307938728,3136140984,4867992883,2233994450,1529910450,2162907000
2010-02-01,3450230721,2438320287,3811745716,1691478895,1400955600,1803052000
2010-02-02,4556455321,3930428328,4398911243,2100699000,1863996000,2294103000
2010-02-03,4930811522,4782605687,4411685381,2131180136,1924304136,2183853000
2010-02-04,4341467831,3895035296,4055588677,1897325757,1479619757,1837934175
2010-02-05,3951109840,3193195978,4157452300,1480719000,1353880000,1717909160
2010-02-08,3629080147,2718520931,3874037537,2101056000,1365529000,1851859000
2010-02-09,4549839794,4054187725,4919746353,2580465300,1793606300,2572500180
2010-02-10,3163081950,2439423475,3969906313,2084446000,1200948000,2005507200
2010-02-11,4669445303,4223207181,5215008172,2396906302,1863689604,2626921000
2010-02-12,3066992034,1890508995,3165116928,1669592000,1039530000,1676241000
2010-02-16,3224773685,1990073821,3558689360,1503302434,1286288434,1688552000
2010-02-17,4411745109,3655031200,5319185961,2137610200,1861421400,2741808200
2010-02-18,4170831214,3757621462,4360906606,2096009200,2014555200,2176506400
2010-02-19,3583614547,2721181567,3401238557,1518521970,1303171740,1878512000
2010-02-22,3661007171,3848963014,4009829093,1738453800,1629217800,1854493000
2010-02-23,4444404297,3428346010,4505783735,1733866575,1930452000,2048600775
2010-02-24,4738771754,4218970695,4466944021,1715427400,1534681211,1957252548
2010-02-25,3622304728,3562920738,4170229074,1638198000,1528384000,1999560000
2010-02-26,3305466794,2023441240,3443325791,1380930200,971425200,1433303200
